@RELATION hand

@ATTRIBUTE f111 NUMERIC
@ATTRIBUTE f112 NUMERIC
@ATTRIBUTE f113 NUMERIC
@ATTRIBUTE f121 NUMERIC
@ATTRIBUTE f122 NUMERIC
@ATTRIBUTE f123 NUMERIC
@ATTRIBUTE f131 NUMERIC
@ATTRIBUTE f132 NUMERIC
@ATTRIBUTE f133 NUMERIC
@ATTRIBUTE f141 NUMERIC
@ATTRIBUTE f142 NUMERIC
@ATTRIBUTE f143 NUMERIC
@ATTRIBUTE f211 NUMERIC
@ATTRIBUTE f212 NUMERIC
@ATTRIBUTE f213 NUMERIC
@ATTRIBUTE f221 NUMERIC
@ATTRIBUTE f222 NUMERIC
@ATTRIBUTE f223 NUMERIC
@ATTRIBUTE f231 NUMERIC
@ATTRIBUTE f232 NUMERIC
@ATTRIBUTE f233 NUMERIC
@ATTRIBUTE f241 NUMERIC
@ATTRIBUTE f242 NUMERIC
@ATTRIBUTE f243 NUMERIC
@ATTRIBUTE f311 NUMERIC
@ATTRIBUTE f312 NUMERIC
@ATTRIBUTE f313 NUMERIC
@ATTRIBUTE f321 NUMERIC
@ATTRIBUTE f322 NUMERIC
@ATTRIBUTE f323 NUMERIC
@ATTRIBUTE f331 NUMERIC
@ATTRIBUTE f332 NUMERIC
@ATTRIBUTE f333 NUMERIC
@ATTRIBUTE f341 NUMERIC
@ATTRIBUTE f342 NUMERIC
@ATTRIBUTE f343 NUMERIC
@ATTRIBUTE f411 NUMERIC
@ATTRIBUTE f412 NUMERIC
@ATTRIBUTE f413 NUMERIC
@ATTRIBUTE f421 NUMERIC
@ATTRIBUTE f422 NUMERIC
@ATTRIBUTE f423 NUMERIC
@ATTRIBUTE f431 NUMERIC
@ATTRIBUTE f432 NUMERIC
@ATTRIBUTE f433 NUMERIC
@ATTRIBUTE f441 NUMERIC
@ATTRIBUTE f442 NUMERIC
@ATTRIBUTE f443 NUMERIC
@ATTRIBUTE f511 NUMERIC
@ATTRIBUTE f512 NUMERIC
@ATTRIBUTE f513 NUMERIC
@ATTRIBUTE f521 NUMERIC
@ATTRIBUTE f522 NUMERIC
@ATTRIBUTE f523 NUMERIC
@ATTRIBUTE f531 NUMERIC
@ATTRIBUTE f532 NUMERIC
@ATTRIBUTE f533 NUMERIC
@ATTRIBUTE f541 NUMERIC
@ATTRIBUTE f542 NUMERIC
@ATTRIBUTE f543 NUMERIC
@ATTRIBUTE class {open, closed, claw}

@DATA
32.3023, 170.372, 69.9988,20.4176, 181.76, 54.4331,2.76869, 199.283, 25.8838,-0.212368, 204.31, 2.71008,37.1428, 206.429, 44.909,17.6448, 217.292, 5.64958,7.00428, 197.714, -5.85045,8.97371, 181.762, 1.81245,51.469, 203.722, 39.5468,33.639, 211.174, -0.653386,17.815, 189.434, -10.0003,16.0565, 172.82, 1.78664,65.0907, 196.986, 35.7844,51.6671, 198.847, 1.8333,32.4971, 175.577, -5.95286,22.9051, 157.72, -1.04701,75.4707, 185.79, 31.447,67.0428, 190.464, 0.875909,49.1406, 176.407, -5.39929,38.1716, 164.975, -0.677106,closed
32.3167, 170.279, 70.0045,20.4369, 181.675, 54.441,2.80265, 199.21, 25.8911,-0.197734, 204.272, 2.70299,37.1713, 206.383, 44.9847,17.6562, 217.336, 5.76327,6.99693, 197.786, -5.76446,8.96997, 181.818, 1.86464,51.4924, 203.676, 39.609,33.6461, 211.177, -0.533863,17.8173, 189.432, -9.84964,16.0774, 172.823, 1.9494,65.1067, 196.937, 35.8254,51.6657, 198.877, 1.88545,32.4731, 175.637, -5.93691,22.8695, 157.779, -1.06137,75.4756, 185.742, 31.4596,67.0338, 190.483, 0.903592,49.1171, 176.452, -5.39107,38.1425, 165.016, -0.690346,closed
32.3292, 170.197, 70.0093,20.4539, 181.605, 54.4507,2.82953, 199.158, 25.9066,-0.195657, 204.261, 2.7079,37.1964, 206.342, 45.0512,17.6661, 217.375, 5.86391,6.99047, 197.849, -5.68769,8.96762, 181.867, 1.91156,51.513, 203.635, 39.6638,33.6522, 211.167, -0.419441,17.8234, 189.408, -9.69064,16.1061, 172.808, 2.12927,65.1208, 196.893, 35.8615,51.6646, 198.902, 1.93212,32.4524, 175.689, -5.91988,22.8393, 157.83, -1.06834,75.4798, 185.699, 31.4707,67.0258, 190.5, 0.928145,49.0967, 176.492, -5.38228,38.1179, 165.053, -0.697835,closed
32.3392, 170.132, 70.0131,20.4687, 181.539, 54.4507,2.85514, 199.091, 25.8996,-0.189661, 204.22, 2.6882,37.2166, 206.31, 45.1049,17.6738, 217.406, 5.94551,6.98528, 197.899, -5.62489,8.96653, 181.906, 1.95022,51.5295, 203.602, 39.7079,33.6547, 211.101, -0.283335,17.8105, 189.27, -9.4903,16.0744, 172.647, 2.31455,65.1321, 196.858, 35.8906,51.6641, 198.931, 1.95851,32.4334, 175.749, -5.93406,22.8074, 157.89, -1.10909,75.4832, 185.665, 31.4796,67.0194, 190.514, 0.947803,49.0802, 176.524, -5.37578,38.0982, 165.083, -0.705026,closed
32.3418, 170.121, 70.0649,20.4706, 181.501, 54.4831,2.85862, 199.002, 25.9002,-0.203529, 204.107, 2.67145,37.2173, 206.278, 45.1254,17.6556, 217.275, 6.01585,6.99913, 197.696, -5.44457,9.05378, 181.739, 2.19292,51.5265, 203.561, 39.7228,33.6342, 211.043, -0.272496,17.7684, 189.215, -9.47545,16.0121, 172.589, 2.32383,65.1248, 196.81, 35.9036,51.6399, 198.869, 1.96547,32.3958, 175.696, -5.91278,22.7633, 157.845, -1.07067,75.47, 185.61, 31.496,66.9925, 190.442, 0.9593,49.0467, 176.455, -5.35499,38.0635, 165.016, -0.68021,closed
32.345, 170.13, 70.076,20.4752, 181.497, 54.4832,2.86701, 198.973, 25.8833,-0.201882, 204.07, 2.64569,37.2181, 206.282, 45.1289,17.6558, 217.195, 6.06642,7.03331, 197.542, -5.3138,9.13561, 181.601, 2.35698,51.5267, 203.564, 39.7253,33.6304, 211.039, -0.270813,17.7619, 189.211, -9.47103,16.004, 172.586, 2.32908,65.1245, 196.812, 35.9058,51.6361, 198.868, 1.96316,32.3899, 175.699, -5.91554,22.7562, 157.849, -1.07001,75.4691, 185.611, 31.4993,66.9879, 190.436, 0.963173,49.0413, 176.448, -5.34653,38.059, 165.009, -0.669921,closed
32.383, 170.227, 70.157,20.5117, 181.545, 54.5297,2.89399, 198.94, 25.8838,-0.223301, 204.016, 2.62309,37.2379, 206.345, 45.1576,17.6591, 217.01, 6.21459,7.12125, 197.161, -4.93957,9.34839, 181.268, 2.82845,51.5426, 203.621, 39.7475,33.6179, 211.042, -0.246126,17.7433, 189.201, -9.4058,15.9938, 172.592, 2.4179,65.1379, 196.864, 35.9276,51.6263, 198.886, 1.97488,32.3722, 175.719, -5.8797,22.7374, 157.878, -1.00642,75.4795, 185.657, 31.5289,66.976, 190.441, 0.993513,49.0255, 176.442, -5.28526,38.0484, 165.005, -0.589969,closed
32.4071, 170.289, 70.2081,20.5356, 181.575, 54.5582,2.91369, 198.917, 25.8813,-0.227, 203.973, 2.60726,37.2503, 206.386, 45.1757,17.6614, 216.913, 6.29685,7.16911, 196.959, -4.73319,9.46303, 181.095, 3.08835,51.5527, 203.657, 39.7616,33.6076, 211.006, -0.201379,17.7437, 189.128, -9.28164,16.0253, 172.545, 2.588,65.1464, 196.896, 35.9413,51.6203, 198.9, 1.97821,32.3594, 175.738, -5.86861,22.7196, 157.904, -0.983138,75.4861, 185.686, 31.5476,66.9683, 190.444, 1.01282,49.0157, 176.438, -5.24579,38.0434, 165.002, -0.537703,closed
32.4293, 170.346, 70.2551,20.5572, 181.6, 54.5828,2.92917, 198.89, 25.8768,-0.235518, 203.927, 2.59111,37.2618, 206.423, 45.1923,17.6628, 216.843, 6.36117,7.20394, 196.811, -4.573,9.5478, 180.968, 3.29025,51.562, 203.689, 39.7744,33.5972, 210.945, -0.137733,17.7547, 189.008, -9.10253,16.0838, 172.466, 2.83481,65.1542, 196.926, 35.9539,51.6151, 198.913, 1.98013,32.3471, 175.757, -5.86152,22.7008, 157.93, -0.966066,75.4922, 185.712, 31.5647,66.9614, 190.447, 1.03015,49.0068, 176.434, -5.21075,38.038, 165, -0.491578,closed
32.455, 170.417, 70.3117,20.5819, 181.634, 54.6132,2.94678, 198.863, 25.8725,-0.240148, 203.873, 2.57453,37.2739, 206.472, 45.214,17.6633, 216.793, 6.42021,7.23297, 196.693, -4.42979,9.61918, 180.871, 3.47145,51.5721, 203.735, 39.7928,33.5869, 210.881, -0.0619597,17.7724, 188.877, -8.89394,16.1583, 172.381, 3.12214,65.1634, 196.97, 35.973,51.6114, 198.935, 1.98673,32.3383, 175.784, -5.84843,22.687, 157.963, -0.940531,75.5008, 185.753, 31.5899,66.9567, 190.458, 1.05493,49.0014, 176.438, -5.16643,38.0374, 165.004, -0.434676,closed
